epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,158.741,1.13257,0.49718,0.43833,0.76685,1.13366,0.96848,0.97297,0.99017,0.64114,0.96848,0.97297,0.99017,0.94135,1.15773,0.60185,0.15297,1.00751,0.97689,0.0008218,0.0008218,0.0008218
29,163.561,1.19925,0.5146,0.41621,0.84765,1.11365,1,0.95845,0.99411,0.63527,1,0.95845,0.99411,0.98747,1.17727,0.32046,0.15778,1.13511,1.00251,0.0008152,0.0008152,0.0008152
30,168.34,1.08055,0.5121,0.39115,0.82531,1.07269,0.99509,0.98649,0.99474,0.53427,0.99509,0.98649,0.99474,0.97601,1.46887,0.58602,0.15032,1.14109,1.04085,0.0008086,0.0008086,0.0008086
31,173.051,1.0991,0.47032,0.43053,0.77763,1.08777,0.91944,0.97297,0.97877,0.65416,0.91944,0.97297,0.97877,0.97533,1.03733,0.5863,0.14735,1.05572,0.96058,0.000802,0.000802,0.000802
32,177.841,1.11553,0.37637,0.40065,0.83737,1.07877,0.98992,0.94595,0.99316,0.593,0.98992,0.94595,0.99316,0.85459,1.31198,1.03536,0.14807,1.60876,1.04,0.0007954,0.0007954,0.0007954
33,182.618,1.12646,0.48373,0.42367,0.82148,1.07938,1,0.99477,0.995,0.58647,1,0.99477,0.995,0.95928,1.36033,0.74988,0.15772,1.06669,1.0332,0.0007888,0.0007888,0.0007888
34,187.372,1.14036,0.42035,0.38483,0.78818,1.11859,0.99737,1,0.995,0.61786,0.99737,1,0.995,0.93562,1.31575,0.57437,0.15134,0.72635,1.02361,0.0007822,0.0007822,0.0007822
35,192.112,1.10054,0.54535,0.40575,0.82477,1.05137,1,0.99306,0.995,0.7332,1,0.99306,0.995,0.99081,0.92963,0.36226,0.1416,1.02173,0.90345,0.0007756,0.0007756,0.0007756
36,196.949,1.07488,0.38442,0.41642,0.77911,1.0362,0.96866,0.98649,0.99461,0.6025,0.96866,0.98649,0.99461,0.98848,1.22666,0.37104,0.15183,1.02902,0.93832,0.000769,0.000769,0.000769
37,201.787,1.06728,0.38157,0.40821,0.79595,1.0442,0.99803,1,0.995,0.58427,0.99803,1,0.995,0.99243,1.25528,0.26544,0.15426,0.94136,0.96507,0.0007624,0.0007624,0.0007624
38,206.632,1.12749,0.37655,0.38277,0.81975,1.07005,0.96063,0.98913,0.99407,0.73443,0.96063,0.98913,0.99407,0.97437,0.96951,0.53165,0.1494,0.8695,0.94999,0.0007558,0.0007558,0.0007558
39,211.472,1.16913,0.5378,0.38348,0.82128,1.07335,0.99226,0.98649,0.99487,0.62406,0.99226,0.98649,0.99487,0.93792,1.22452,0.58921,0.15063,0.92858,0.98506,0.0007492,0.0007492,0.0007492
40,216.31,1.11452,0.3939,0.38787,0.81202,1.07559,0.98649,0.98654,0.99487,0.75793,0.98649,0.98654,0.99487,0.98678,0.87884,0.47901,0.14134,0.83057,0.90387,0.0007426,0.0007426,0.0007426
41,221.287,1.11303,0.36618,0.31798,0.78125,1.05616,0.98175,0.98649,0.99407,0.62225,0.98175,0.98649,0.99407,0.98456,1.22782,0.46843,0.14761,0.96173,0.9823,0.000736,0.000736,0.000736
42,226.157,1.08689,0.43425,0.3607,0.84289,1.0807,0.98662,0.99647,0.99473,0.69661,0.98662,0.99647,0.99473,0.95648,0.93158,0.56224,0.13629,0.89066,0.92645,0.0007294,0.0007294,0.0007294
43,230.927,1.07745,0.47847,0.33819,0.8078,1.03713,0.99751,1,0.995,0.65659,0.99751,1,0.995,0.87969,1.05825,0.80324,0.14905,0.95308,0.97678,0.0007228,0.0007228,0.0007228
44,235.698,1.06892,0.32211,0.30519,0.79546,1.04331,0.97324,1,0.9946,0.75904,0.97324,1,0.9946,0.97878,0.91216,0.55431,0.14791,0.67558,0.89674,0.0007162,0.0007162,0.0007162
45,240.42,1.09648,0.42781,0.32081,0.76506,1.04335,0.99594,1,0.995,0.70911,0.99594,1,0.995,0.98388,1.1669,0.39681,0.13744,0.73775,0.927,0.0007096,0.0007096,0.0007096
46,245.211,1.0152,0.41758,0.32158,0.76144,1.02037,0.99554,0.98649,0.99474,0.72815,0.99554,0.98649,0.99474,0.9769,0.92624,0.41817,0.13507,0.83565,0.91771,0.000703,0.000703,0.000703
47,250.067,1.03556,0.59318,0.28595,0.7767,1.01926,0.99732,1,0.995,0.6019,0.99732,1,0.995,0.99305,1.35051,0.28777,0.14006,0.82508,0.96966,0.0006964,0.0006964,0.0006964
48,254.871,1.1115,0.3642,0.28319,0.72509,1.05756,0.99806,1,0.995,0.73131,0.99806,1,0.995,0.9912,1.02604,0.26505,0.12658,0.74144,0.90995,0.0006898,0.0006898,0.0006898
49,259.625,1.09963,0.41027,0.27788,0.79669,1.07031,1,0.99438,0.995,0.60389,1,0.99438,0.995,0.98936,1.2793,0.35868,0.11587,0.75299,0.94604,0.0006832,0.0006832,0.0006832
50,264.428,1.02206,0.40742,0.27864,0.74868,1.06739,1,0.99823,0.995,0.75943,1,0.99823,0.995,0.99046,0.93592,0.44687,0.11489,0.65709,0.88742,0.0006766,0.0006766,0.0006766
51,269.23,1.02626,0.42577,0.29748,0.77149,1.02275,0.97913,0.98649,0.99411,0.69456,0.97913,0.98649,0.99411,0.98007,1.07949,0.51513,0.11378,0.72312,0.93133,0.00067,0.00067,0.00067
52,273.989,1.06565,0.32817,0.29551,0.72666,1.07227,0.97201,1,0.98927,0.68903,0.97201,1,0.98927,0.98445,1.07317,0.25485,0.1189,0.69816,0.9352,0.0006634,0.0006634,0.0006634
53,278.76,0.99089,0.36038,0.26847,0.71249,1.04813,0.98076,1,0.99313,0.63391,0.98076,1,0.99313,0.99126,1.28687,0.23464,0.11872,0.68847,0.94833,0.0006568,0.0006568,0.0006568
54,283.556,1.01774,0.34703,0.26958,0.78271,1.05512,0.99509,1,0.995,0.73473,0.99509,1,0.995,0.99327,0.94446,0.25101,0.10871,0.62013,0.89661,0.0006502,0.0006502,0.0006502
55,288.357,1.07036,0.35407,0.25227,0.74782,1.06476,0.9927,1,0.995,0.5539,0.9927,1,0.995,0.9931,1.44839,0.30422,0.11652,0.70652,0.95538,0.0006436,0.0006436,0.0006436
56,293.169,1.0374,0.37908,0.23139,0.74412,1.04681,0.98378,1,0.995,0.71875,0.98378,1,0.995,0.99295,1.00378,0.24538,0.11016,0.66481,0.91704,0.000637,0.000637,0.000637
57,298.033,1.05777,0.33111,0.2631,0.79674,1.07051,0.99013,0.98649,0.99487,0.72994,0.99013,0.98649,0.99487,0.99201,1.01596,0.21535,0.11465,0.70419,0.91795,0.0006304,0.0006304,0.0006304
58,302.908,0.98091,0.28327,0.21402,0.73403,1.02285,0.96059,0.98809,0.99461,0.74069,0.96059,0.98809,0.99461,0.99276,0.93244,0.18614,0.11516,0.69745,0.91382,0.0006238,0.0006238,0.0006238
59,307.687,0.99684,0.30038,0.23168,0.77749,1.03017,0.98661,0.99583,0.99487,0.62587,0.98661,0.99583,0.99487,0.99291,1.23268,0.18338,0.10945,0.68902,0.91342,0.0006172,0.0006172,0.0006172
60,312.51,1.04551,0.33118,0.21466,0.78665,1.03959,0.99345,1,0.995,0.76534,0.99345,1,0.995,0.99318,0.93978,0.18152,0.10262,0.69874,0.88739,0.0006106,0.0006106,0.0006106
61,317.469,1.02537,0.40264,0.25857,0.78025,1.04795,0.98659,0.99434,0.99473,0.77394,0.98659,0.99434,0.99473,0.99307,0.89698,0.2164,0.10334,0.69552,0.88692,0.000604,0.000604,0.000604
62,322.372,1.01897,0.38648,0.22805,0.76456,1.02997,0.96068,0.99056,0.99177,0.68246,0.96068,0.99056,0.99177,0.99048,1.11698,0.32587,0.09592,0.70905,0.91266,0.0005974,0.0005974,0.0005974
63,327.171,1.0147,0.37108,0.24389,0.75557,1.06453,0.99961,1,0.995,0.74995,0.99961,1,0.995,0.99332,0.99026,0.26291,0.10708,0.64171,0.92475,0.0005908,0.0005908,0.0005908
64,331.949,0.98776,0.33175,0.22743,0.74699,1.04753,0.99718,1,0.995,0.75443,0.99718,1,0.995,0.99045,0.95124,0.18646,0.10257,0.66536,0.89708,0.0005842,0.0005842,0.0005842
65,336.774,0.94855,0.30089,0.23151,0.73876,1.01928,0.9934,1,0.995,0.78167,0.9934,1,0.995,0.99123,0.88223,0.18018,0.10312,0.64468,0.8831,0.0005776,0.0005776,0.0005776
66,341.64,0.93131,0.31689,0.21953,0.6705,0.99188,0.98178,1,0.9942,0.72224,0.98178,1,0.9942,0.98643,1.06019,0.21491,0.10807,0.68658,0.90902,0.000571,0.000571,0.000571
67,346.5,0.97048,0.31593,0.203,0.71618,0.97822,0.9466,1,0.99289,0.78218,0.9466,1,0.99289,0.98925,0.76926,0.21409,0.09894,0.67188,0.87026,0.0005644,0.0005644,0.0005644
68,351.277,0.9457,0.30466,0.194,0.68751,1.00219,0.97483,1,0.995,0.60752,0.97483,1,0.995,0.99137,1.24624,0.20296,0.09046,0.76101,0.93573,0.0005578,0.0005578,0.0005578
69,356.086,0.96646,0.22939,0.18797,0.74176,1.01159,0.99617,1,0.995,0.72371,0.99617,1,0.995,0.99294,0.95764,0.17456,0.08891,0.6665,0.887,0.0005512,0.0005512,0.0005512
70,360.92,0.99709,0.24022,0.18529,0.72223,1.0113,0.97744,1,0.9842,0.66227,0.97744,1,0.9842,0.9842,1.08936,0.15147,0.08736,0.72517,0.89306,0.0005446,0.0005446,0.0005446
71,365.773,0.93585,0.29879,0.19179,0.6716,0.97937,0.997,1,0.995,0.72053,0.997,1,0.995,0.99236,0.9078,0.13772,0.08875,0.60963,0.87908,0.000538,0.000538,0.000538
72,370.512,0.96157,0.42551,0.168,0.6841,1.02075,0.99764,1,0.995,0.72987,0.99764,1,0.995,0.99358,0.99121,0.21542,0.09856,0.58772,0.90608,0.0005314,0.0005314,0.0005314
73,375.395,0.95916,0.22513,0.18855,0.68885,0.99377,0.99776,1,0.995,0.67986,0.99776,1,0.995,0.99383,1.14303,0.21164,0.10338,0.64695,0.91358,0.0005248,0.0005248,0.0005248
74,380.145,0.92036,0.2947,0.16507,0.68159,0.99741,0.99701,1,0.995,0.7327,0.99701,1,0.995,0.99497,1.00115,0.16047,0.08202,0.57882,0.91228,0.0005182,0.0005182,0.0005182
75,384.874,0.88338,0.20543,0.14973,0.65378,0.97998,0.98858,1,0.995,0.66484,0.98858,1,0.995,0.99497,1.1113,0.15685,0.07492,0.61182,0.90077,0.0005116,0.0005116,0.0005116
76,389.658,0.93292,0.31207,0.15636,0.69423,0.98469,0.99722,1,0.995,0.71828,0.99722,1,0.995,0.99466,0.99597,0.17933,0.07594,0.59018,0.89053,0.000505,0.000505,0.000505
77,394.432,0.9588,0.23279,0.14453,0.70831,1.03857,0.99713,1,0.995,0.69086,0.99713,1,0.995,0.99322,1.08504,0.14293,0.07832,0.6522,0.89628,0.0004984,0.0004984,0.0004984
78,399.229,0.93865,0.29381,0.18258,0.70335,1.01691,0.99596,1,0.995,0.71214,0.99596,1,0.995,0.99488,1.06581,0.1566,0.08109,0.64371,0.91698,0.0004918,0.0004918,0.0004918
79,404.007,0.96639,0.31906,0.16656,0.69893,1.02689,0.9977,1,0.995,0.77234,0.9977,1,0.995,0.99489,0.96837,0.18539,0.07675,0.58382,0.89879,0.0004852,0.0004852,0.0004852
80,408.8,0.96181,0.2067,0.14533,0.63552,1.00578,0.99818,1,0.995,0.64029,0.99818,1,0.995,0.99116,1.33697,0.18069,0.07373,0.60957,0.94891,0.0004786,0.0004786,0.0004786
81,413.586,0.89167,0.2601,0.15313,0.6416,0.99302,0.99788,1,0.995,0.79571,0.99788,1,0.995,0.99311,0.82129,0.13026,0.0711,0.52385,0.85017,0.000472,0.000472,0.000472
82,418.454,0.9234,0.3439,0.14147,0.66596,0.99305,0.99711,1,0.995,0.77123,0.99711,1,0.995,0.99422,0.92945,0.20715,0.06379,0.59138,0.86514,0.0004654,0.0004654,0.0004654
83,423.247,0.94103,0.25362,0.12018,0.66245,1.01247,0.99771,1,0.995,0.76292,0.99771,1,0.995,0.995,0.93738,0.19382,0.06274,0.58175,0.85856,0.0004588,0.0004588,0.0004588
84,428.053,0.91314,0.31257,0.11923,0.68706,1.02199,0.99485,1,0.995,0.75486,0.99485,1,0.995,0.99332,0.85841,0.10873,0.0565,0.58262,0.86637,0.0004522,0.0004522,0.0004522
