epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,249.997,0.57254,0.36506,1.21033,0.99871,1,0.995,0.80863,0.63992,0.29201,0.9806,0.000820525,0.000820525,0.000820525
44,255.38,0.57415,0.36735,1.19529,0.9965,1,0.995,0.81568,0.57311,0.32134,0.90719,0.000812468,0.000812468,0.000812468
45,260.498,0.53788,0.34072,1.16097,0.98465,1,0.99487,0.81928,0.50456,0.29581,0.84547,0.000804277,0.000804277,0.000804277
46,265.925,0.52574,0.33856,1.16104,0.97204,1,0.99026,0.86135,0.4154,0.33158,0.75845,0.000795954,0.000795954,0.000795954
47,271.011,0.54987,0.3554,1.18381,0.99569,1,0.995,0.82557,0.56151,0.44347,0.94094,0.000787503,0.000787503,0.000787503
48,276.236,0.54366,0.33452,1.14773,0.84712,0.98667,0.97988,0.86476,0.36419,0.39761,0.68413,0.000778929,0.000778929,0.000778929
49,281.407,0.57604,0.33899,1.1974,0.97395,0.99719,0.99075,0.82431,0.55235,0.368,0.88338,0.000770234,0.000770234,0.000770234
50,286.709,0.55684,0.33948,1.17024,0.98251,0.96,0.98988,0.86248,0.39652,0.37984,0.73283,0.000761423,0.000761423,0.000761423
51,291.802,0.53456,0.31778,1.1436,0.92522,0.98667,0.97741,0.75151,0.60854,0.49534,0.94105,0.0007525,0.0007525,0.0007525
52,297.053,0.54431,0.34523,1.17197,0.96143,0.98667,0.98953,0.82489,0.5014,0.40474,0.85076,0.000743468,0.000743468,0.000743468
53,302.262,0.51557,0.33621,1.15494,0.95924,0.98667,0.99219,0.86497,0.40767,0.37381,0.74312,0.000734332,0.000734332,0.000734332
54,307.621,0.54517,0.35055,1.1631,0.98398,0.98667,0.99204,0.86874,0.42328,0.28636,0.73992,0.000725094,0.000725094,0.000725094
55,312.973,0.55361,0.34405,1.1812,0.98046,1,0.99421,0.86142,0.35535,0.27746,0.6997,0.000715761,0.000715761,0.000715761
56,318.319,0.54086,0.34126,1.16506,0.99844,1,0.995,0.89481,0.37083,0.21476,0.73606,0.000706335,0.000706335,0.000706335
57,323.584,0.54827,0.35102,1.1788,0.99704,1,0.995,0.8581,0.46354,0.26782,0.77094,0.00069682,0.00069682,0.00069682
58,328.811,0.48964,0.32988,1.14245,0.98545,1,0.99487,0.88839,0.33093,0.21203,0.65946,0.000687222,0.000687222,0.000687222
59,334.039,0.48182,0.31484,1.11242,1,0.9958,0.995,0.87692,0.39029,0.23845,0.74693,0.000677543,0.000677543,0.000677543
60,339.188,0.4946,0.3164,1.12214,0.98529,1,0.99487,0.88056,0.41333,0.25979,0.72347,0.000667789,0.000667789,0.000667789
61,344.473,0.47813,0.3213,1.10241,0.97346,1,0.99474,0.89695,0.36066,0.31993,0.69299,0.000657963,0.000657963,0.000657963
62,349.721,0.51662,0.32151,1.13915,0.96157,0.98667,0.99377,0.88345,0.39752,0.36731,0.70056,0.000648071,0.000648071,0.000648071
63,354.956,0.47649,0.30031,1.10251,0.99833,0.98667,0.99426,0.90688,0.32712,0.32492,0.67248,0.000638115,0.000638115,0.000638115
64,360.16,0.45062,0.28419,1.09618,1,0.99395,0.995,0.90464,0.32942,0.3546,0.63496,0.000628101,0.000628101,0.000628101
65,365.398,0.45755,0.30413,1.08331,0.98832,1,0.995,0.9096,0.32039,0.2784,0.6262,0.000618034,0.000618034,0.000618034
66,371.619,0.49013,0.30867,1.13232,0.99913,1,0.995,0.88162,0.3634,0.22693,0.68844,0.000607916,0.000607916,0.000607916
67,376.882,0.4752,0.30731,1.10468,0.97815,0.93333,0.98498,0.76104,0.59014,0.424,0.91541,0.000597754,0.000597754,0.000597754
68,382.109,0.50281,0.3028,1.12558,0.94418,0.96,0.98892,0.87123,0.44477,0.34335,0.73898,0.000587551,0.000587551,0.000587551
69,387.534,0.49887,0.31248,1.14326,0.99908,1,0.995,0.91452,0.33743,0.19996,0.66088,0.000577311,0.000577311,0.000577311
70,392.795,0.49751,0.30701,1.13897,0.99909,1,0.995,0.91311,0.32104,0.20217,0.62054,0.00056704,0.00056704,0.00056704
71,397.985,0.51642,0.31056,1.14635,0.99914,1,0.995,0.89934,0.36243,0.20241,0.67291,0.000556742,0.000556742,0.000556742
72,403.329,0.45749,0.28626,1.09376,0.99889,1,0.995,0.89542,0.33967,0.20086,0.64327,0.000546421,0.000546421,0.000546421
73,408.708,0.48497,0.28176,1.12093,0.99877,1,0.995,0.90444,0.34218,0.21235,0.65233,0.000536081,0.000536081,0.000536081
74,414.145,0.45454,0.27843,1.09567,1,0.99247,0.995,0.90613,0.34379,0.2545,0.67172,0.000525728,0.000525728,0.000525728
75,419.384,0.42536,0.27791,1.07174,0.9956,0.96,0.99322,0.90417,0.33885,0.23336,0.65708,0.000515366,0.000515366,0.000515366
76,424.629,0.44481,0.26898,1.10604,0.99885,1,0.995,0.91733,0.3263,0.24934,0.67167,0.000505,0.000505,0.000505
77,429.946,0.49373,0.29492,1.14655,0.96817,0.98667,0.9937,0.89381,0.37426,0.28226,0.69766,0.000494634,0.000494634,0.000494634
78,435.384,0.4307,0.2743,1.0873,0.99838,1,0.995,0.94329,0.28502,0.24566,0.62068,0.000484272,0.000484272,0.000484272
79,440.666,0.43289,0.26827,1.08613,0.9993,1,0.995,0.93948,0.28302,0.18497,0.59074,0.000473919,0.000473919,0.000473919
80,446.001,0.46309,0.28037,1.10691,0.99937,1,0.995,0.95726,0.25672,0.18566,0.56828,0.000463579,0.000463579,0.000463579
81,451.359,0.43741,0.26401,1.08085,0.99908,1,0.995,0.92448,0.32154,0.20488,0.61644,0.000453258,0.000453258,0.000453258
82,456.618,0.46429,0.28357,1.11726,0.99856,1,0.995,0.92456,0.3139,0.25083,0.64938,0.00044296,0.00044296,0.00044296
83,461.777,0.41481,0.26069,1.07339,0.99358,1,0.995,0.90014,0.38679,0.26728,0.69241,0.000432689,0.000432689,0.000432689
84,467.136,0.4349,0.27119,1.10234,0.99913,1,0.995,0.91003,0.33942,0.25554,0.651,0.000422449,0.000422449,0.000422449
85,472.369,0.42563,0.28204,1.0777,0.99917,1,0.995,0.91747,0.2997,0.21243,0.6001,0.000412246,0.000412246,0.000412246
86,477.643,0.43309,0.26766,1.07891,0.99883,1,0.995,0.95856,0.23828,0.18301,0.54131,0.000402084,0.000402084,0.000402084
87,482.85,0.40511,0.25496,1.05685,0.99915,1,0.995,0.98188,0.23105,0.17907,0.54518,0.000391966,0.000391966,0.000391966
88,488.199,0.41495,0.26491,1.07341,0.99905,1,0.995,0.93885,0.27393,0.17566,0.58699,0.000381899,0.000381899,0.000381899
89,493.361,0.41745,0.26118,1.06529,0.99861,1,0.995,0.9572,0.25666,0.19058,0.58665,0.000371885,0.000371885,0.000371885
90,498.65,0.40718,0.25757,1.0733,0.98883,1,0.995,0.93273,0.2842,0.22747,0.6046,0.000361929,0.000361929,0.000361929
