epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,161.368,1.06325,0.28366,0.31753,0.64575,0.97394,0.97345,0.99112,0.99474,0.46842,0.97345,0.99112,0.99474,0.96652,1.64601,0.31677,0.10239,0.88409,1.07804,0.000832349,0.000832349,0.000832349
29,166.326,1.14461,0.32814,0.28858,0.69484,1.02009,0.97493,0.97297,0.98111,0.60178,0.98847,0.98649,0.99487,0.98555,1.10282,0.28792,0.10827,1.12132,0.9508,0.000820525,0.000820525,0.000820525
30,171.291,1.10288,0.2503,0.28825,0.69623,1.01339,1,0.95268,0.98082,0.4463,1,0.95268,0.98082,0.95691,1.83515,0.45598,0.11926,1.82932,1.13402,0.000808389,0.000808389,0.000808389
31,176.344,1.10011,0.2093,0.29907,0.69578,1.00654,0.9398,0.91892,0.95279,0.49185,0.95402,0.93243,0.97785,0.87223,1.50124,0.76817,0.12177,1.31819,1.04977,0.000795954,0.000795954,0.000795954
32,181.597,1.12927,0.23518,0.24799,0.67233,0.99487,0.98622,0.96729,0.98485,0.53447,0.98622,0.96729,0.98485,0.89491,1.49953,0.38809,0.09705,1.71013,1.03311,0.000783231,0.000783231,0.000783231
33,186.784,1.07402,0.33098,0.26226,0.67133,0.97799,0.95273,0.95946,0.98694,0.45884,0.95273,0.95946,0.98694,0.97246,1.70021,0.30885,0.10193,1.56155,1.03876,0.000770234,0.000770234,0.000770234
34,191.829,0.95447,0.24788,0.21768,0.60805,0.9384,0.95051,0.95946,0.98034,0.43386,0.95051,0.95946,0.98926,0.89168,1.56624,0.72418,0.10136,1.02098,1.04661,0.000756976,0.000756976,0.000756976
35,197.026,1.00294,0.2406,0.25372,0.57851,0.95892,0.86763,0.93243,0.91629,0.3083,0.90924,0.97297,0.97723,0.94621,1.99883,0.34828,0.10393,1.40142,1.19561,0.000743468,0.000743468,0.000743468
36,202.163,1.01659,0.25336,0.25909,0.58075,0.97238,0.96941,1,0.99406,0.54607,0.96941,1,0.99406,0.99065,1.42124,0.21154,0.09192,0.91523,0.96519,0.000729725,0.000729725,0.000729725
37,207.161,0.92721,0.24884,0.21359,0.59845,0.94064,0.93498,1,0.99042,0.6114,0.93498,1,0.99042,0.9867,1.34959,0.253,0.08564,0.8651,0.95137,0.000715761,0.000715761,0.000715761
38,212.289,0.9826,0.18534,0.19628,0.63544,0.95778,0.93593,0.97297,0.97351,0.46803,0.94893,0.98649,0.98392,0.97227,1.86799,0.39405,0.1069,0.94047,1.08096,0.000701588,0.000701588,0.000701588
39,217.191,0.96719,0.17256,0.2319,0.61017,0.97309,0.93386,0.95946,0.9397,0.33633,0.9602,0.98649,0.9863,0.94943,2.11848,0.33073,0.07561,0.85178,1.26406,0.000687222,0.000687222,0.000687222
40,222.081,0.92728,0.21217,0.21999,0.60784,0.96303,0.95942,0.95857,0.94725,0.33603,1,0.99904,0.995,0.98708,2.16754,0.22809,0.07304,0.75981,1.20438,0.000672675,0.000672675,0.000672675
41,227.052,0.89868,0.18922,0.17855,0.54124,0.93518,0.96415,0.97297,0.96052,0.5035,0.99093,1,0.995,0.98909,1.49705,0.32572,0.08116,0.68725,1.00965,0.000657963,0.000657963,0.000657963
