epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,177.658,1.12887,0.32384,0.3401,0.76568,1.05891,0.86291,0.89189,0.92486,0.39669,0.85257,0.78378,0.88317,0.4816,2.12022,2.25321,0.14489,1.62775,2.13707,0.000922942,0.000922942,0.000922942
29,183.399,1.20334,0.32412,0.31205,0.85692,1.08299,0.97669,0.95946,0.99106,0.64381,0.97669,0.95946,0.99106,0.95732,1.13956,0.38564,0.11165,0.91575,0.96354,0.000917296,0.000917296,0.000917296
30,189.31,1.13548,0.26709,0.29426,0.79127,1.09531,0.9147,0.94595,0.94969,0.44368,0.9284,0.95946,0.96884,0.91171,1.61859,0.45018,0.12246,1.3727,1.08307,0.000911469,0.000911469,0.000911469
31,194.892,1.13218,0.24489,0.30975,0.81007,1.0869,0.98278,0.98649,0.99315,0.69571,0.98278,0.98649,0.99315,0.96462,1.06242,0.38307,0.113,0.77902,0.94215,0.000905463,0.000905463,0.000905463
32,200.597,1.17191,0.25711,0.25789,0.86677,1.09075,0.84368,0.87838,0.86909,0.42316,0.94717,0.98649,0.9898,0.90768,1.27979,0.32266,0.10839,2.07813,1.0043,0.000899282,0.000899282,0.000899282
33,205.904,1.03507,0.32412,0.25281,0.77772,1.0126,0.98774,0.98649,0.99487,0.55612,0.98774,0.98649,0.99487,0.91071,1.31298,0.36814,0.10049,0.81792,0.96945,0.000892928,0.000892928,0.000892928
34,211.584,1.04306,0.25486,0.21809,0.7376,1.01691,0.95982,0.96852,0.98666,0.66169,0.95982,0.96852,0.98666,0.73849,1.14998,0.92779,0.10354,0.74524,1.09804,0.000886404,0.000886404,0.000886404
35,217.198,1.04602,0.2604,0.27844,0.80642,1.018,0.94863,0.99831,0.99004,0.72011,0.94863,0.99831,0.99004,0.95523,0.91279,0.32574,0.08215,0.69296,0.96201,0.000879713,0.000879713,0.000879713
36,222.698,1.03594,0.25522,0.23329,0.74645,1.01526,0.96742,1,0.99393,0.74393,0.96742,1,0.99393,0.94882,0.9693,0.30357,0.08329,0.66922,0.89689,0.000872857,0.000872857,0.000872857
37,228.268,1.0649,0.23318,0.23481,0.72742,1.02623,0.94862,0.99811,0.99104,0.5843,0.94862,0.99811,0.99104,0.96851,1.24458,0.3533,0.09478,0.96416,0.92875,0.000865839,0.000865839,0.000865839
38,233.902,1.03357,0.32672,0.21658,0.7595,1.02782,0.94785,1,0.99328,0.72188,0.94785,1,0.99328,0.99037,0.93287,0.19983,0.0756,0.68758,0.89028,0.000858664,0.000858664,0.000858664
39,239.36,0.9586,0.18906,0.20297,0.73035,1.00643,0.99793,1,0.995,0.51636,0.99793,1,0.995,0.99028,1.4826,0.19857,0.07693,0.84656,0.98477,0.000851333,0.000851333,0.000851333
40,244.721,1.02421,0.28835,0.20021,0.75282,1.03088,0.97115,1,0.99263,0.61542,0.97115,1,0.99263,0.9912,1.47308,0.20975,0.06611,0.91827,0.99417,0.000843851,0.000843851,0.000843851
