epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,337.127,0.57565,0.35959,1.19223,0.99923,1,0.995,0.88386,0.51652,0.36748,0.9552,0.000828443,0.000828443,0.000828443
43,344.988,0.52496,0.32846,1.15027,1,0.99959,0.995,0.87819,0.50165,0.33249,0.92496,0.000820525,0.000820525,0.000820525
44,352.965,0.55312,0.3452,1.18186,0.76919,0.8887,0.86153,0.49936,1.01842,0.98993,1.48066,0.000812468,0.000812468,0.000812468
45,360.859,0.54185,0.33225,1.1629,0.89993,0.97333,0.93645,0.75984,0.58858,0.69911,0.9835,0.000804277,0.000804277,0.000804277
46,368.79,0.55018,0.34921,1.17756,0.82979,0.91007,0.9254,0.70809,0.65757,0.71035,1.0821,0.000795954,0.000795954,0.000795954
47,376.663,0.52891,0.33658,1.15581,1,0.98416,0.99474,0.86631,0.45384,0.32164,0.88495,0.000787503,0.000787503,0.000787503
48,384.6,0.54278,0.34053,1.17476,0.99883,1,0.995,0.90245,0.43943,0.30454,0.81074,0.000778929,0.000778929,0.000778929
49,392.62,0.51988,0.32306,1.14413,0.98571,1,0.995,0.88791,0.43857,0.37824,0.87972,0.000770234,0.000770234,0.000770234
50,400.564,0.55394,0.34781,1.18789,0.97309,0.96439,0.99311,0.87053,0.5228,0.47566,0.90594,0.000761423,0.000761423,0.000761423
51,408.426,0.53065,0.33851,1.14621,0.99115,0.98667,0.99315,0.85493,0.47198,0.48824,0.92236,0.0007525,0.0007525,0.0007525
52,416.356,0.50895,0.32155,1.1441,0.96913,0.98667,0.99448,0.8608,0.52459,0.53271,0.90845,0.000743468,0.000743468,0.000743468
53,424.206,0.5111,0.32024,1.13314,0.9495,1,0.9911,0.8953,0.41229,0.56657,0.83341,0.000734332,0.000734332,0.000734332
54,432.189,0.49684,0.31215,1.12771,0.99843,1,0.995,0.89314,0.4455,0.30017,0.85892,0.000725094,0.000725094,0.000725094
55,440.135,0.52117,0.32389,1.14588,0.99989,1,0.995,0.88115,0.45285,0.29446,0.87257,0.000715761,0.000715761,0.000715761
56,448.083,0.49056,0.30946,1.12771,1,0.99778,0.995,0.89467,0.42037,0.26489,0.85326,0.000706335,0.000706335,0.000706335
57,455.966,0.47387,0.29989,1.12681,0.98633,1,0.99447,0.86948,0.51464,0.29735,0.8922,0.00069682,0.00069682,0.00069682
58,463.965,0.4755,0.29956,1.10796,0.99866,1,0.995,0.92331,0.37275,0.26674,0.80574,0.000687222,0.000687222,0.000687222
59,471.953,0.46874,0.29499,1.10646,0.99928,1,0.995,0.86906,0.508,0.29392,0.92799,0.000677543,0.000677543,0.000677543
60,479.976,0.47274,0.30438,1.13134,0.99843,1,0.995,0.83566,0.64321,0.33185,1.0682,0.000667789,0.000667789,0.000667789
61,487.864,0.48237,0.29957,1.11714,0.9996,1,0.995,0.91245,0.41266,0.32877,0.83348,0.000657963,0.000657963,0.000657963
62,495.784,0.46212,0.29121,1.10718,0.99804,0.98667,0.99487,0.85479,0.59905,0.36458,1.02507,0.000648071,0.000648071,0.000648071
63,503.662,0.47103,0.29669,1.0993,0.99777,1,0.995,0.81119,0.67712,0.42098,1.16492,0.000638115,0.000638115,0.000638115
64,511.611,0.46005,0.29041,1.08642,0.99715,1,0.995,0.86648,0.54729,0.34894,1.01147,0.000628101,0.000628101,0.000628101
65,519.575,0.48449,0.30094,1.10615,0.996,0.98667,0.99474,0.85655,0.60373,0.38681,1.04792,0.000618034,0.000618034,0.000618034
66,527.529,0.45278,0.28814,1.08185,0.98588,1,0.99487,0.90527,0.39723,0.26114,0.86713,0.000607916,0.000607916,0.000607916
67,535.417,0.45734,0.29476,1.10091,1,0.99786,0.995,0.88987,0.46385,0.26455,0.8746,0.000597754,0.000597754,0.000597754
68,543.392,0.42931,0.28319,1.07631,0.99921,1,0.995,0.92076,0.36836,0.24479,0.76915,0.000587551,0.000587551,0.000587551
