epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,301.738,0.53084,0.32844,1.1534,0.99881,1,0.995,0.85778,0.56955,0.50223,0.97995,0.000820525,0.000820525,0.000820525
44,308.835,0.54405,0.3487,1.17507,0.99936,1,0.995,0.86953,0.5818,0.35185,1.00988,0.000812468,0.000812468,0.000812468
45,315.897,0.53741,0.32914,1.16691,0.92562,0.99556,0.98802,0.84567,0.61019,0.52855,1.04964,0.000804277,0.000804277,0.000804277
46,323,0.5479,0.34146,1.17775,0.94772,1,0.97534,0.77574,0.74658,0.49433,1.2259,0.000795954,0.000795954,0.000795954
47,330.038,0.53175,0.33553,1.15737,0.99892,0.98667,0.99487,0.83424,0.62098,0.37916,1.08217,0.000787503,0.000787503,0.000787503
48,337.113,0.55609,0.34068,1.18118,0.99881,1,0.995,0.84263,0.62435,0.33162,1.10994,0.000778929,0.000778929,0.000778929
49,344.232,0.53955,0.32633,1.15752,0.99261,0.98667,0.99474,0.87786,0.48411,0.38716,0.94138,0.000770234,0.000770234,0.000770234
50,351.422,0.56319,0.34866,1.18766,0.99351,1,0.995,0.84832,0.59947,0.38294,1.00941,0.000761423,0.000761423,0.000761423
51,358.483,0.52644,0.32865,1.1442,0.97343,1,0.995,0.86424,0.48494,0.38008,0.92566,0.0007525,0.0007525,0.0007525
52,365.575,0.5153,0.32879,1.14914,0.93422,1,0.98744,0.85272,0.49337,0.50586,0.9389,0.000743468,0.000743468,0.000743468
53,372.582,0.53438,0.32546,1.15516,0.97367,0.98602,0.98537,0.81311,0.48538,0.48505,0.93495,0.000734332,0.000734332,0.000734332
54,379.749,0.49059,0.31261,1.12865,0.96696,1,0.99396,0.85832,0.58714,0.43628,1.04047,0.000725094,0.000725094,0.000725094
55,386.828,0.53025,0.33791,1.15152,0.9644,1,0.99093,0.9001,0.44496,0.5163,0.94159,0.000715761,0.000715761,0.000715761
56,394.006,0.49839,0.32194,1.13355,0.99842,1,0.995,0.87311,0.5817,0.39306,0.9904,0.000706335,0.000706335,0.000706335
57,401.043,0.49982,0.31847,1.14106,0.93591,0.97352,0.99268,0.90873,0.4101,0.35947,0.8032,0.00069682,0.00069682,0.00069682
58,408.208,0.47533,0.30175,1.10412,0.98673,0.99178,0.99487,0.88031,0.44967,0.41455,0.87208,0.000687222,0.000687222,0.000687222
59,415.291,0.47615,0.30814,1.11346,0.99695,1,0.995,0.91171,0.42466,0.34729,0.8393,0.000677543,0.000677543,0.000677543
60,422.407,0.48882,0.31642,1.13273,0.9965,1,0.995,0.86785,0.55705,0.43055,0.95334,0.000667789,0.000667789,0.000667789
61,429.467,0.48644,0.30198,1.12036,0.95517,0.98667,0.99188,0.90292,0.42721,0.45658,0.84462,0.000657963,0.000657963,0.000657963
62,436.551,0.461,0.2897,1.09896,0.99814,1,0.995,0.89894,0.46007,0.38181,0.87961,0.000648071,0.000648071,0.000648071
63,443.61,0.45624,0.29545,1.08662,0.98561,1,0.99487,0.89945,0.44899,0.33184,0.86561,0.000638115,0.000638115,0.000638115
64,450.679,0.48417,0.30101,1.11318,0.99667,1,0.995,0.87959,0.51857,0.38579,0.94572,0.000628101,0.000628101,0.000628101
65,457.704,0.48185,0.29577,1.10351,0.99892,1,0.995,0.92185,0.38275,0.33558,0.82355,0.000618034,0.000618034,0.000618034
66,464.883,0.45357,0.28057,1.08264,0.99567,1,0.995,0.90722,0.43486,0.49014,0.89495,0.000607916,0.000607916,0.000607916
67,471.93,0.47322,0.29437,1.1084,0.99933,1,0.995,0.86873,0.49854,0.56986,0.94921,0.000597754,0.000597754,0.000597754
68,479.022,0.46133,0.29483,1.09712,0.99669,1,0.995,0.87811,0.47182,0.42463,0.89216,0.000587551,0.000587551,0.000587551
69,486.069,0.45305,0.2747,1.09971,0.94925,1,0.98833,0.83436,0.5033,0.47443,0.95278,0.000577311,0.000577311,0.000577311
70,493.125,0.4687,0.28808,1.10481,0.93615,1,0.98205,0.86929,0.41851,0.42525,0.87326,0.00056704,0.00056704,0.00056704
71,500.178,0.47146,0.30695,1.12933,0.99774,1,0.995,0.9208,0.39998,0.28081,0.78541,0.000556742,0.000556742,0.000556742
72,507.282,0.4664,0.29426,1.10989,0.99917,1,0.995,0.92931,0.40457,0.2503,0.78387,0.000546421,0.000546421,0.000546421
73,514.423,0.44545,0.28445,1.09447,0.99922,1,0.995,0.89534,0.49867,0.28743,0.89693,0.000536081,0.000536081,0.000536081
74,521.522,0.42541,0.27799,1.07843,0.99918,1,0.995,0.91147,0.43182,0.32567,0.87088,0.000525728,0.000525728,0.000525728
75,528.537,0.41066,0.2639,1.07577,0.99942,1,0.995,0.91196,0.44729,0.26712,0.8552,0.000515366,0.000515366,0.000515366
76,535.613,0.43554,0.27085,1.07609,0.99976,1,0.995,0.922,0.36154,0.28547,0.78689,0.000505,0.000505,0.000505
77,542.646,0.45767,0.28448,1.09163,0.99923,1,0.995,0.87548,0.58019,0.29923,0.98964,0.000494634,0.000494634,0.000494634
78,549.72,0.47806,0.28881,1.12533,0.99916,1,0.995,0.93523,0.36827,0.23807,0.80588,0.000484272,0.000484272,0.000484272
79,556.873,0.44184,0.27684,1.0915,0.97293,0.98667,0.99152,0.89117,0.51905,0.37951,0.90378,0.000473919,0.000473919,0.000473919
80,563.968,0.44533,0.26637,1.08908,0.99884,1,0.995,0.94803,0.36151,0.29235,0.7897,0.000463579,0.000463579,0.000463579
81,571.057,0.44446,0.26821,1.09456,0.99836,1,0.995,0.90884,0.44395,0.27664,0.82625,0.000453258,0.000453258,0.000453258
82,578.128,0.4334,0.28016,1.08617,1,0.99772,0.995,0.93829,0.36592,0.31619,0.78075,0.00044296,0.00044296,0.00044296
83,585.156,0.4128,0.26446,1.06795,0.98978,0.97333,0.99461,0.92016,0.43321,0.38117,0.8284,0.000432689,0.000432689,0.000432689
84,592.24,0.39366,0.25438,1.06595,0.94903,0.99309,0.98239,0.92267,0.46041,0.59576,0.84917,0.000422449,0.000422449,0.000422449
85,599.265,0.41579,0.27233,1.07593,0.99784,1,0.995,0.93517,0.36986,0.32257,0.77041,0.000412246,0.000412246,0.000412246
86,606.335,0.38853,0.24318,1.03512,0.99796,1,0.995,0.90825,0.42663,0.33248,0.87307,0.000402084,0.000402084,0.000402084
87,613.44,0.40805,0.25558,1.05945,0.99373,1,0.995,0.9388,0.3788,0.37571,0.79414,0.000391966,0.000391966,0.000391966
88,620.581,0.40512,0.25495,1.06435,0.99857,1,0.995,0.94192,0.36886,0.34553,0.78654,0.000381899,0.000381899,0.000381899
89,627.628,0.40065,0.25305,1.05219,0.99859,1,0.995,0.94594,0.33704,0.36101,0.74509,0.000371885,0.000371885,0.000371885
90,634.727,0.4037,0.25352,1.06377,0.99899,1,0.995,0.94054,0.35042,0.25004,0.76491,0.000361929,0.000361929,0.000361929
91,641.822,0.40487,0.25282,1.05595,0.99924,1,0.995,0.94979,0.30847,0.22335,0.74078,0.000352037,0.000352037,0.000352037
92,648.959,0.40249,0.24935,1.07062,0.99929,1,0.995,0.90664,0.50351,0.30065,1.00245,0.000342211,0.000342211,0.000342211
93,656.018,0.4127,0.26003,1.06694,0.99923,1,0.995,0.94315,0.40444,0.24029,0.81747,0.000332457,0.000332457,0.000332457
94,663.081,0.39578,0.24693,1.0631,0.99928,1,0.995,0.94567,0.38665,0.22444,0.77345,0.000322778,0.000322778,0.000322778
95,670.113,0.41932,0.25938,1.07761,0.99925,1,0.995,0.91781,0.46181,0.23321,0.90071,0.00031318,0.00031318,0.00031318
96,677.207,0.3811,0.24313,1.03819,0.99919,1,0.995,0.95583,0.29674,0.2064,0.71039,0.000303665,0.000303665,0.000303665
97,684.317,0.38627,0.24173,1.05238,0.9993,1,0.995,0.95552,0.30943,0.22378,0.71309,0.000294239,0.000294239,0.000294239
98,691.411,0.37571,0.23429,1.05117,0.99931,1,0.995,0.94786,0.2809,0.21149,0.6902,0.000284906,0.000284906,0.000284906
99,698.477,0.34883,0.22725,1.0256,0.99927,1,0.995,0.94889,0.2789,0.21787,0.71597,0.000275668,0.000275668,0.000275668
100,705.547,0.36281,0.23247,1.04072,0.99879,1,0.995,0.94887,0.3193,0.21898,0.714,0.000266532,0.000266532,0.000266532
101,712.638,0.36603,0.23278,1.03704,0.99736,1,0.995,0.93156,0.34597,0.24251,0.74335,0.0002575,0.0002575,0.0002575
102,719.757,0.35204,0.22669,1.01971,0.99925,1,0.995,0.95799,0.29031,0.23956,0.70606,0.000248577,0.000248577,0.000248577
103,726.852,0.3544,0.23164,1.02648,0.99874,1,0.995,0.93783,0.36533,0.29555,0.75502,0.000239766,0.000239766,0.000239766
